python main.py --technique tot --dataset dataset/gsm8k.json --dataset-type gsm8k --output generate_res/gsm8k_tot.json

python main.py --technique tot --dataset game24 --output generate_res/game24_tot.json --n-sample 5 --n-iteration 3

4,4 10 11 12,24.71,62.90%,17.56,8.97
5,2 4 5 5,24.72,60.40%,15.23,8.46
6,2 2 5 8,24.84,63.50%,16.69,9.19
7,8 8 9 12,24.93,56.70%,12.65,7.52
8,3 4 7 8,25.04,61.10%,14.33,8.25
9,5 6 6 9,25.04,59.20%,14.12,8.75
10,3 5 10 10,25.12,54.30%,12.34,6.59
11,2 2 6 11,25.22,62.20%,18.4,8.58
12,4 9 10 12,25.27,61.70%,17.05,9.01
13,8 9 11 11,25.64,58%,15.82,8.41
14,3 9 11 13,26.26,57.60%,13.9,8.31
15,4 7 8 10,26.26,62.90%,18.82,9.21
